nohup: ignoring input
[Config] CUDA detected: NVIDIA RTX A6000 x2
[Utils] Random seed set to 42
============================================================
  1D-DDPM Generation Pipeline
============================================================
  Device:       cuda
  Checkpoint:   logs/deep_v6/checkpoint_final.pt
  Scaler:       logs/deep_v6/scaler.pt
  Num samples:  5120
  Batch size:   64
  Use EMA:      True
  Output:       output/deep_v6.csv
============================================================

[Step 1] Loading scaler...
[Scaler] Parameters loaded from logs/deep_v6/scaler.pt
  sp500: mean=0.000315, std=0.010551
  DGS10: mean=0.000026, std=0.066899
  Found run configuration: /home/u00134/src/logs/deep_v6/config.json
  Loaded model config: channel_dims=[256, 512, 1024], time_emb_dim=512, T=3000

[Step 2] Loading model...
  Loaded EMA weights
  Trained epoch: 6999
  U-Net parameters: 42,121,730

[Step 3] Generating 5120 paths...

  --- Batch 1 (64 samples) ---
  [Scheduler] Reverse step 800/3000  x range: [-4.586, 4.598]
  [Scheduler] Reverse step 750/3000  x range: [-4.860, 4.650]
  [Scheduler] Reverse step 700/3000  x range: [-4.677, 4.573]
  [Scheduler] Reverse step 650/3000  x range: [-5.078, 4.566]
  [Scheduler] Reverse step 600/3000  x range: [-5.048, 4.911]
  [Scheduler] Reverse step 550/3000  x range: [-5.070, 4.915]
  [Scheduler] Reverse step 500/3000  x range: [-5.316, 4.778]
  [Scheduler] Reverse step 450/3000  x range: [-5.227, 4.905]
  [Scheduler] Reverse step 400/3000  x range: [-5.527, 5.088]
  [Scheduler] Reverse step 350/3000  x range: [-5.156, 5.240]
  [Scheduler] Reverse step 300/3000  x range: [-5.317, 5.308]
  [Scheduler] Reverse step 250/3000  x range: [-5.492, 5.340]
  [Scheduler] Reverse step 200/3000  x range: [-5.358, 5.449]
  [Scheduler] Reverse step 150/3000  x range: [-5.165, 5.383]
  [Scheduler] Reverse step 100/3000  x range: [-5.213, 5.403]
  [Scheduler] Reverse step  50/3000  x range: [-5.084, 5.334]
  [Scheduler] Reverse step   0/3000  x range: [-4.996, 5.275]
  Generated: 192/5120

  --- Batch 4 (64 samples) ---
  [Scheduler] Reverse step 2999/3000  x range: [-4.414, 5.403]
  [Scheduler] Reverse step 2950/3000  x range: [-4.436, 4.166]
  [Scheduler] Reverse step 2900/3000  x range: [-4.683, 4.625]
  [Scheduler] Reverse step 2850/3000  x range: [-4.754, 4.254]
  [Scheduler] Reverse step 2800/3000  x range: [-4.245, 4.561]
  [Scheduler] Reverse step 2750/3000  x range: [-4.619, 4.195]
  [Scheduler] Reverse step 2700/3000  x range: [-5.126, 4.567]
  [Scheduler] Reverse step 2650/3000  x range: [-4.356, 4.365]
  [Scheduler] Reverse step 2600/3000  x range: [-4.693, 4.398]
  [Scheduler] Reverse step 2550/3000  x range: [-4.320, 4.350]
  [Scheduler] Reverse step 2500/3000  x range: [-4.355, 4.467]
  [Scheduler] Reverse step 2450/3000  x range: [-4.474, 4.724]
  [Scheduler] Reverse step 2400/3000  x range: [-4.679, 4.753]
  [Scheduler] Reverse step 2350/3000  x range: [-4.428, 4.242]
  [Scheduler] Reverse step 2300/3000  x range: [-4.786, 4.897]
  [Scheduler] Reverse step 2250/3000  x range: [-4.459, 4.580]
  [Scheduler] Reverse step 2200/3000  x range: [-4.608, 4.567]
  [Scheduler] Reverse step 2150/3000  x range: [-4.342, 4.654]
  [Scheduler] Reverse step 2100/3000  x range: [-4.631, 4.412]
  [Scheduler] Reverse step 2050/3000  x range: [-4.414, 4.305]
  [Scheduler] Reverse step 2000/3000  x range: [-4.316, 4.294]
  [Scheduler] Reverse step 1950/3000  x range: [-4.614, 4.314]
  [Scheduler] Reverse step 1900/3000  x range: [-5.077, 4.487]
  [Scheduler] Reverse step 1850/3000  x range: [-4.335, 4.362]
  [Scheduler] Reverse step 1800/3000  x range: [-4.358, 4.464]
  [Scheduler] Reverse step 1750/3000  x range: [-4.620, 4.678]
  [Scheduler] Reverse step 1700/3000  x range: [-4.370, 4.288]
  [Scheduler] Reverse step 1650/3000  x range: [-4.356, 4.252]
  [Scheduler] Reverse step 1600/3000  x range: [-4.422, 4.592]
  [Scheduler] Reverse step 1550/3000  x range: [-4.687, 5.087]
  [Scheduler] Reverse step 1500/3000  x range: [-4.576, 5.195]
  [Scheduler] Reverse step 1450/3000  x range: [-4.195, 4.495]
  [Scheduler] Reverse step 1400/3000  x range: [-4.132, 4.432]
  [Scheduler] Reverse step 1350/3000  x range: [-4.277, 4.751]
  [Scheduler] Reverse step 1300/3000  x range: [-4.377, 4.430]
  [Scheduler] Reverse step 1250/3000  x range: [-4.503, 4.422]
  [Scheduler] Reverse step 1200/3000  x range: [-4.371, 4.327]
  [Scheduler] Reverse step 1150/3000  x range: [-4.312, 4.225]
  [Scheduler] Reverse step 1100/3000  x range: [-4.530, 4.749]
  [Scheduler] Reverse step 1050/3000  x range: [-4.649, 4.580]
  [Scheduler] Reverse step 1000/3000  x range: [-4.445, 4.431]
  [Scheduler] Reverse step 950/3000  x range: [-4.397, 4.302]
  [Scheduler] Reverse step 900/3000  x range: [-4.054, 4.698]
  [Scheduler] Reverse step 850/3000  x range: [-4.664, 4.461]
  [Scheduler] Reverse step 800/3000  x range: [-4.097, 4.489]
  [Scheduler] Reverse step 750/3000  x range: [-4.515, 4.509]
  [Scheduler] Reverse step 700/3000  x range: [-4.288, 4.845]
  [Scheduler] Reverse step 650/3000  x range: [-4.689, 4.696]
  [Scheduler] Reverse step 600/3000  x range: [-4.481, 4.659]
  [Scheduler] Reverse step 550/3000  x range: [-5.360, 4.585]
  [Scheduler] Reverse step 500/3000  x range: [-4.963, 5.615]
  [Scheduler] Reverse step 450/3000  x range: [-5.318, 6.182]
  [Scheduler] Reverse step 400/3000  x range: [-5.150, 6.045]
  [Scheduler] Reverse step 350/3000  x range: [-5.664, 5.673]
  [Scheduler] Reverse step 300/3000  x range: [-5.552, 5.569]
  [Scheduler] Reverse step 250/3000  x range: [-5.504, 5.950]
  [Scheduler] Reverse step 200/3000  x range: [-5.603, 5.934]
  [Scheduler] Reverse step 150/3000  x range: [-5.465, 5.620]
